1
 0.3um, 0.5um, 1.0um, 2.0um, 5.0um, 10.0um 
12560, 1840, 520, 640, 80, 20 
13640, 1880, 560, 500, 40, 0 
13620, 2160, 520, 440, 0, 20 
13740, 1740, 520, 740, 60, 0 
13960, 1900, 480, 460, 0, 20 
12980, 2020, 560, 580, 40, 0 
13020, 2060, 440, 600, 40, 0 
13980, 1580, 360, 720, 60, 0 
13120, 1920, 320, 400, 20, 20 
13260, 1880, 500, 300, 40, 0 
14000, 1940, 560, 560, 20, 20 
14120, 1700, 500, 440, 40, 0 
13820, 1440, 520, 480, 20, 20 
13780, 1840, 560, 640, 40, 0 
13200, 1980, 460, 460, 0, 0 
13560, 2100, 460, 580, 60, 0 
13720, 1800, 540, 420, 0, 0 
12920, 1560, 660, 760, 20, 0 
13940, 1860, 480, 420, 40, 0 
13520, 1800, 620, 460, 0, 0 
13860, 1840, 700, 440, 0, 0 
12540, 1720, 400, 320, 0, 0 
14720, 2020, 360, 500, 20, 0 
14000, 2060, 420, 340, 40, 0 
14020, 1700, 520, 500, 0, 0 
13200, , 400, 420, 0, 0 
12880, 1740, 620, 420, 20, 0 
13980, 2040, 340, 380, 40, 0 
14200, 1840, 520, 440, 20, 0 
14020, 1900, 460, 680, 20, 0 
14520, 2020, 540, 500, 40, 0 
13540, 1900, 500, 580, 40, 0 
13320, 1920, 480, 580, 60, 0 
14120, 2140, 640, 480, 0, 0 
12820, 1960, 420, 480, 40, 0 
14180, 2160, 480, 440, 60, 20 
13780, 2000, 760, 480, 60, 0 
14580, 1960, 440, 580, 20, 20 
13840, 1720, 580, 460, 20, 0 
13720, 1900, 560, 440, 0, 0 
14140, 1820, 560, 600, 20, 0 
13920, 1960, 480, 380, 20, 0 
13980, 1760, 600, 680, 0, 0 
13340, 1960, 500, 440, 20, 20 
13680, 1660, 380, 540, 40, 20 
14360, 1900, 600, 580, 20, 0 
14320, 1920, 520, 620, 0, 0 
14380, 1600, 280, 680, 40, 0 
13820, 2000, 520, 620, 40, 0 
13760, 1920, 560, 420, 20, 0 
13020, 1940, 540, 440, 20, 0 
13720, 1680, 540, 600, 40, 0 
13960, 1880, 500, 460, 60, 0 
14960, 1620, 580, 540, 40, 20 
15440, 1940, 400, 480, 40, 0 
14100, 1860, 580, 540, 0, 0 
13600, 1760, 600, 620, 20, 0 
14280, 2240, 620, 420, 20, 20 
13500, 2160, 440, 640, 40, 20 
14600, 1860, 600, 720, 60, 20 
13660, 1640, 580, 600, 20, 0 
15440, 1540, 520, 840, 40, 0 
15220, 1940, 720, 360, 40, 0 
13860, 1700, 540, 700, 0, 20 
15000, 2260, 640, 440, 20, 0 
14360, 2040, 640, 640, 0, 0 
14420, 2000, 600, 640, 60, 0 
14480, 1780, 540, 560, 0, 0 
13940, 1640, 500, 400, 40, 0 
14340, 2220, 720, 720, 20, 0 
14080, 1880, 620, 740, 40, 20 
14420, 1980, 660, 540, 40, 0 
14660, 2100, 400, 540, 40, 0 
14440, 1740, 560, 680, 0, 0 
13460, 2280, 680, 620, 0, 20 
14240, 2020, 560, 620, 60, 0 
14180, 1840, 540, 480, 0, 0 
14380, 1940, 700, 400, 0, 0 
14160, 1660, 540, 700, 0, 0 
13980, 1700, 500, 440, 60, 20 
14600, 1720, 520, 420, , 0 
13320, 2040, 640, 580, 20, 0 
13440, 1960, 540, 440, 20, 0 
14240, 1780, 740, 380, 20, 0 
13040, 1640, 420, 560, 0, 0 
13660, 1780, 520, 380, 0, 0 
13620, 1640, 680, 480, 40, 0 
13920, 1800, 740, 500, 0, 0 
12900, 1720, 520, 560, 0, 0 
13520, 1820, 540, 620, 20, 0 
13020, 1700, 580, 800, 40, 0 
13360, 1900, 680, 640, 0, 0 
14240, 1800, 660, 400, 40, 20 
13140, 1640, 620, 420, 20, 0 
13260, 1860, 500, 680, 20, 0 
13320, 1880, 480, 420, 80, 0 
14780, 1880, 500, 460, 0, 0 
13580, 1780, 660, 580, 40, 20 
14580, 1760, 460, 520, 0, 0 
13060, 1620, 540, 500, 20, 0 
13880, 1780, 560, 420, 60, 0 
13400, 1600, 480, 500, 0, 0 
14280, 1920, 580, 460, 20, 0 
12520, 1680, 520, 260, 40, 0 
13040, 1680, 460, 540, 0, 0 
12440, 2120, 620, 440, 0, 0 
12060, 1780, 420, 380, 20, 0 
13000, 1820, 440, 480, 20, 0 
12840, 1700, 640, 460, 40, 0 
12560, 1540, 320, 440, 0, 0 
12780, 1600, 680, 620, 20, 0 
13940, 1860, 400, 660, 20, 20 
12780, 1840, 680, 460, 60, 0 
13080, 1500, 520, 400, 0, 0 
13580, 1880, 440, 460, 40, 0 
12220, 1800, 460, 500, 0, 0 
2
 0.3um, 0.5um, 1.0um, 2.0um, 5.0um, 10.0um 
14180, 2140, 420, 420, 60, 0 
14620, 1720, 640, 540, 40, 0 
15440, 1720, 500, 500, 80, 20 
14780, 1900, 500, 420, 20, 0 
13780, 1820, 540, 200, 0, 0 
13340, 2160, 300, 400, 0, 0 
13020, 1540, 460, 440, 0, 0 
13020, 1500, 580, 360, 20, 0 
13500, 1380, 520, 260, 0, 0 
13480, 1600, 440, 300, 20, 0 
14300, 1800, 380, 200, 0, 0 
14400, 1700, 420, 400, 20, 0 
13780, 2000, 540, 500, 20, 0 
14280, 1560, 520, 400, 60, 0 
13580, 2080, 300, 580, 40, 0 
13220, 1860, 640, 480, 20, 0 
13320, 1740, 420, 360, 40, 0 
14040, 1720, 480, 400, 40, 0 
13680, 1960, 560, 320, 0, 0 
12880, 1940, 660, 520, 0, 0 
13720, 1740, 480, 380, 60, 0 
14520, 1420, 380, 840, 20, 0 
14240, 1820, 480, 460, 0, 0 
13800, 1300, 440, 320, 0, 0 
13880, 1760, 400, 460, 20, 0 
13520, 1520, 580, 520, 0, 0 
13440, 1900, 880, 540, 60, 0 
13660, 1980, 540, 480, 40, 0 
14140, 1840, 680, 720, 0, 0 
14120, 2060, 580, 580, 40, 0 
13420, 1880, 540, 560, 40, 0 
13140, 1920, 520, 460, 40, 0 
12760, 1720, 520, 520, 40, 0 
13440, 1680, 540, 380, 40, 0 
14160, 1900, 700, 620, 20, 0 
14400, 1580, 640, 380, 60, 0 
14040, 1820, 640, 620, 60, 0 
13980, 2120, 440, 440, 0, 0 
14360, 1960, 540, 400, 0, 0 
12940, 1760, 540, 400, 0, 0 
13080, 1960, 360, 360, 0, 0 
15000, 2120, 480, 500, 0, 0 
15640, 1780, 540, 380, 20, 0 
14780, 1880, 560, 400, 0, 0 
14540, 2160, 500, 480, 20, 0 
13920, 1980, 640, 440, 20, 0 
13620, 1820, 640, 360, 0, 0 
14440, 1900, 580, 560, 0, 0 
14620, 1920, 420, 600, 20, 20 
13840, 1980, 620, 440, 40, 0 
13840, 2000, 520, 560, 20, 0 
14360, 2060, 640, 580, 60, 20 
, 2100, 740, 520, 60, 0 
15840, 2280, 580, 820, 80, 0 
14160, 2300, 500, 560, 60,  
15260, 1920, 560, 680, 40, 0 
15060, 2020, 640, 540, 60, 0 
14960, 1620, 420, 580, 0, 20 
13900, 1840, 680, 500, 60, 0 
14940, 2000, 500, 520, 20, 0 
13700, 1880, 520, 340, 20, 0 
13860, 1980, 520, 540, 40, 0 
13820, 1920, 540, 420, 20, 0 
13040, 1880, 560, 640, 20, 0 
14940, 2040, 640, 580, 20, 0 
12640, 2300, 320, 380, 60, 0 
13120, 1720, 560, 560, 60, 0 
13740, 2260, 740, 460, 20, 0 
14640, 1840, 420, 480, 40, 0 
12420, 1780, 500, 700, 0, 0 
14140, 1920, 480, 580, 60, 0 
12580, 1580, 620, 380, 40, 0 
13420, 2060, 560, 540, 0, 0 
14500, 1840, 680, 700, 20, 0 
13000, 2020, 540, 780, , 20 
13860, 2080, 600, 540, 80, 0 
13960, 2240, 540, 680, 20, 0 
14240, 2140, 500, 540, 40, 20 
14060, 1960, 620, 480, 40, 0 
14220, 2200, 720, 660, 100, 0 
13960, , , , , 0 
12940, 2160, 540, 740, 40, 0 
15200, , , 900, , 0 
