0.3um, 0.5um, 1.0um, 2.0um, 5.0um, 10.0um 
13960, 1860, 600, 340, 20, 0 
17940, 2340, 580, 440, 20, 0 
18220, 2440, 580, 880, 100, 0 
16580, 2180, 520, 580, 40, 0 
18280, 2420, 640, 460, 40, 0 
16800, 2380, 420, 540, 20, 0 
18020, 2700, 760, 520, 0,  
17840, 2120, 740, 440, 60, 0 
17420, 2520, 600, 420, 80, 0 
16660, 2260, 720, 700, 40, 0 
15640, 2140, 600, 660, 40, 0 
14620, 2100, 640, 700, 80, 20 
15260, 1780, 780, 620, 0, 20 
15740, 2360, 820, 580, 80, 0 
15960, 2280, 540, 480, 40, 0 
15320, 2360, 460, 420, 80, 20 
16580, 2260, 740, 520, 20, 0 
15860, 2160, 440, 420, 40, 0 
15580, 2160, 480, 520, 40, 20 
15580, 1960, 660, 620, 60, 0 
15300, 1920, 480, 320, 0, 0 
17120, 2200, 520, 440, 40, 0 
15760, 1960, 660, 640, 0, 20 
15160, 2360, 420, 600, 40, 0 
15980, 2220, 440, 520, 0, 20 
14920, 2020, 520, 640, 20, 0 
14240, 1960, 520, 520, 20, 0 
14600, 1940, 560, 280, 0, 20 
14780, 1580, 440, 420, 0, 0 
15240, 1900, 640, 480, 40, 0 
14580, 2060, 540, 680, 20, 0 
15200, 1620, 440, 380, 60, 0 
14380, 2180, 620, 380, 20, 20 
13680, 1640, 440, 520, 0, 0 
12200, 1560, 680, 560, 100, 0 
13740, 1940, 360, 620, 0, 0 
15480, 2240, 760, 520, 40,  
14420, 2060, 400, 460, 20, 20 
14900, 2140, 480, 600, 40, 0 
14720, 1960, 580, 540, 40, 0 
14720, 2020, 460, 500, , 0 
13760, 1640, 560, 700, 40,  
14440, 2100, 560, 440, 100, 0 
14860, 1960, 640, 300, 60, 0 
15200, 2040, 540, 460, 0, 20 
14780, 2060, 600, 580, 20, 0 
15540, 1720, 520, 400, 0, 0 
14460, 2020, 620, 500, 20, 0 
14440, 2200, 540, 500, 40, 20 
14280, 1900, 600, 540, 40, 0 
16680, 1940, 700, 560, 20, 0 
14540, 1860, 580, 340, 40, 0 
14200, 2060, 560, 560, 80, 0 
15600, 1980, 540, 360, 20, 0 
16720, 2360, 720, 600, 40, 0 
14600, 2420, 600, 280, 20, 0 
14200, 2280, 440, 340, 0, 0 
14040, 1740, 560, 380, 0, 0 
15340, 2080, 540, 420, 40,  
15100, 2060, 480, 440, 40, 0 
13780, 2220, 660, 460, 20, 0 
13180, 2320, 580, 280, 40, 0 
13300, 1880, 680, 480, 20, 0 
14460, 1960, 840, 360, 20, 0 
13940, 1780, 540, 600, 20, 0 
14120, 2340, 580, 560, 20, 0 
13800, 1880, 640, 360, 0, 0 
13700, 1880, 560, 360, 20, 0 
14360, 2060, 780, 420, 60, 0 
14400, 2240, 680, 380, 20, 20 
14360, 2160, 500, 380, 20, 0 
14580, 2620, 580, 420, 0, 0 
15260, 2240, 640, 460, 20, 0 
14240, 2380, 640, 600, 40, 0 
13880, 2120, 440, 660, 40, 0 
13880, 2300, 420, 480, 0, 0 
13040, 2140, 520, 300, 20, 0 
13880, 2280, 600, 540, 20, 0 
14940, 2460, 620, 460, 40, 0 
14400, 2280, 760, 660, 60, 0 
14040, 2780, 740, 620, 60, 0 
13760, 2340, 720, 760, 20, 0 
14340, 2400, 580, 600, 20, 0 
12240, 2320, 800, 540, 0, 0 
13780, 2640, 660, 460, 20, 0 
13600, 2240, 860, 500, 40, 0 
13440, 2040, 980, 380, 20, 0 
13740, 2260, 480, 740, 0, 0 
13640, 2200, 700, 540, 0, 0 
14040, 2480, 680, 540, 60, 0 
13040, 2780, 460, 360, 0, 0 
14020, 2940, 620, 500, 20, 0 
15320, 3080, 780, 720, 40, 0 
14440, 3440, 620, 560, 40, 0 
14320, 2840, 1000, 520, 0, 0 
13660, 3060, 980, 600, 40, 0 
13720, 3000, 800, 560, 40, 0 
13820, 2480, 700, 660, 40, 20 
14780, 2880, 900, 880, 40, 0 
14380, 2560, 840, 680, 40, 20 
13640, 3000, 840, 700, 60, 0 
14400, 2300, 900, 580, 0, 20 
13760, 2540, 600, 680, 40, 0 
14600, 2720, 1040, 620, 20, 0 
14260, 2580, 760, 680, 0,  
14000, 2980, 920, 680, 40, 0 
14620, 2840, 580, 540, 40, 0 
13700, 2940, 560, 660, 20, 20 
14740, 2700, 800, 560, 40, 0 
14860, 2640, 840, 660, 60, 0 
15340, 3020, 880, 560, 0, 0 
13820, 3100, 780, 480, 80, 0 
12540, 2180, 800, 580, 20, 0 
13500, 2180, 720, 1000, 60, 0 
13720, 2860, 620, 780, 20, 0 
14360, 2940, 720, 660, 40, 0 
13060, 2420, 640, 460, 60, 0 
