Date,Time,Sample Period,Sample Volume,Sample Units,Count Mode,Concentration Mode,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,Sample Mode,Location Name,Sample Number,Cal. Value,Laser Current,0.3um (Cum. Counts),0.5um (Cum. Counts),1.0um (Cum. Counts),2.0um (Cum. Counts),5.0um (Cum. Counts),10.0um (Cum. Counts),Cal Alarm,Flow Alarm,Over Conc. Alarm,System Alarm,Count Alarm,Battery Alarm,Laser Alarm
2018/7/15,10:15:48,0:00:01,0.05,L,Dif.,Counts/L,22080,880,320,340,0,0,Automatic,Line16,1,2.69,47,1181,77,33,17,0,0,0,0,0,0,0,0,0
2018/7/15,10:15:49,0:00:01,0.05,L,Dif.,Counts/L,20860,1180,300,320,0,0,Automatic,Line16,2,2.69,48.4,1133,90,31,16,0,0,0,0,0,0,0,0,0
2018/7/15,10:15:50,0:00:01,0.05,L,Dif.,Counts/L,21800,1240,200,180,0,0,Automatic,Line16,3,2.71,53.8,1171,81,19,9,0,0,0,0,0,0,0,0,0
2018/7/15,10:15:51,0:00:01,0.05,L,Dif.,Counts/L,23080,1280,200,240,20,0,Automatic,Line16,4,2.69,53.8,1241,87,23,13,1,0,0,0,0,0,0,0,0
2018/7/15,10:15:52,0:00:01,0.05,L,Dif.,Counts/L,22080,1300,180,260,0,20,Automatic,Line16,5,2.69,53.8,1192,88,23,14,1,1,1,0,0,0,0,0,0
2018/7/15,10:15:53,0:00:01,0.05,L,Dif.,Counts/L,21900,920,280,240,40,0,Automatic,Line16,6,2.67,53.8,1169,74,28,14,2,0,1,0,0,0,0,0,0
2018/7/15,10:15:54,0:00:01,0.05,L,Dif.,Counts/L,22260,1220,380,400,0,0,Automatic,Line16,7,2.67,53.8,1213,100,39,20,0,0,1,0,0,0,0,0,0
2018/7/15,10:15:55,0:00:01,0.05,L,Dif.,Counts/L,21740,940,380,360,0,0,Automatic,Line16,8,2.67,53.8,1171,84,37,18,0,0,1,0,0,0,0,0,0
2018/7/15,10:15:56,0:00:01,0.05,L,Dif.,Counts/L,21800,1160,260,260,40,0,Automatic,Line16,9,2.68,53.8,1176,86,28,15,2,0,1,0,0,0,0,0,0
2018/7/15,10:15:57,0:00:01,0.05,L,Dif.,Counts/L,22720,1420,420,360,20,0,Automatic,Line16,10,2.67,53.8,1247,111,40,19,1,0,1,0,0,0,0,0,0
2018/7/15,10:15:58,0:00:01,0.05,L,Dif.,Counts/L,22060,1220,300,240,20,0,Automatic,Line16,11,2.67,53.9,1192,89,28,13,1,0,1,0,0,0,0,0,0
2018/7/15,10:15:59,0:00:01,0.05,L,Dif.,Counts/L,21860,1340,240,300,20,0,Automatic,Line16,12,2.66,53.9,1188,95,28,16,1,0,1,0,0,0,0,0,0
2018/7/15,10:16:00,0:00:01,0.05,L,Dif.,Counts/L,21940,820,160,260,0,0,Automatic,Line16,13,2.66,53.9,1159,62,21,13,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:01,0:00:01,0.05,L,Dif.,Counts/L,22260,1120,300,220,0,0,Automatic,Line16,14,2.66,53.9,1195,82,26,11,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:02,0:00:01,0.05,L,Dif.,Counts/L,23040,900,300,240,0,0,Automatic,Line16,15,2.66,53.9,1224,72,27,12,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:03,0:00:01,0.05,L,Dif.,Counts/L,21500,1120,320,140,0,20,Automatic,Line16,16,2.66,53.9,1155,80,24,8,1,1,1,0,0,0,0,0,0
2018/7/15,10:16:04,0:00:01,0.05,L,Dif.,Counts/L,21340,1360,400,280,0,20,Automatic,Line16,17,2.67,54,1170,103,35,15,1,1,1,0,0,0,0,0,0
2018/7/15,10:16:05,0:00:01,0.05,L,Dif.,Counts/L,22680,1000,340,280,20,0,Automatic,Line16,18,2.67,54,1216,82,32,15,1,0,1,0,0,0,0,0,0
2018/7/15,10:16:06,0:00:01,0.05,L,Dif.,Counts/L,21820,1040,380,160,0,0,Automatic,Line16,19,2.66,54,1170,79,27,8,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:07,0:00:01,0.05,L,Dif.,Counts/L,21800,1460,420,260,0,0,Automatic,Line16,20,2.67,53.9,1197,107,34,13,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:08,0:00:01,0.05,L,Dif.,Counts/L,21580,1140,220,200,40,20,Automatic,Line16,21,2.67,53.9,1160,81,24,13,3,1,1,0,0,0,0,0,0
2018/7/15,10:16:09,0:00:01,0.05,L,Dif.,Counts/L,21320,1220,340,180,20,0,Automatic,Line16,22,2.67,53.9,1154,88,27,10,1,0,1,0,0,0,0,0,0
2018/7/15,10:16:10,0:00:01,0.05,L,Dif.,Counts/L,21740,1240,340,400,100,20,Automatic,Line16,23,2.67,53.9,1192,105,43,26,6,1,1,0,0,0,0,0,0
2018/7/15,10:16:11,0:00:01,0.05,L,Dif.,Counts/L,21800,960,360,460,0,0,Automatic,Line16,24,2.67,53.9,1179,89,41,23,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:12,0:00:01,0.05,L,Dif.,Counts/L,21860,1220,420,260,80,20,Automatic,Line16,25,2.68,54,1193,100,39,18,5,1,1,0,0,0,0,0,0
2018/7/15,10:16:13,0:00:01,0.05,L,Dif.,Counts/L,21960,1100,320,320,0,0,Automatic,Line16,26,2.68,54,1185,87,32,16,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:14,0:00:01,0.05,L,Dif.,Counts/L,21960,840,440,360,20,0,Automatic,Line16,27,2.68,54,1181,83,41,19,1,0,1,0,0,0,0,0,0
2018/7/15,10:16:15,0:00:01,0.05,L,Dif.,Counts/L,22000,1080,300,260,0,0,Automatic,Line16,28,2.68,54,1182,82,28,13,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:16,0:00:01,0.05,L,Dif.,Counts/L,21600,1380,320,340,40,0,Automatic,Line16,29,2.69,54,1184,104,35,19,2,0,1,0,0,0,0,0,0
2018/7/15,10:16:17,0:00:01,0.05,L,Dif.,Counts/L,21920,940,220,240,0,0,Automatic,Line16,30,2.69,54,1166,70,23,12,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:18,0:00:01,0.05,L,Dif.,Counts/L,21780,1340,320,220,60,0,Automatic,Line16,31,2.68,54.1,1186,97,30,14,3,0,1,0,0,0,0,0,0
2018/7/15,10:16:19,0:00:01,0.05,L,Dif.,Counts/L,22360,920,280,180,20,20,Automatic,Line16,32,2.68,54.1,1189,71,25,11,2,1,1,0,0,0,0,0,0
2018/7/15,10:16:20,0:00:01,0.05,L,Dif.,Counts/L,22040,860,380,300,0,20,Automatic,Line16,33,2.69,54.1,1180,78,35,16,1,1,1,0,0,0,0,0,0
2018/7/15,10:16:21,0:00:01,0.05,L,Dif.,Counts/L,22940,980,240,220,40,0,Automatic,Line16,34,2.69,54.1,1221,74,25,13,2,0,1,0,0,0,0,0,0
2018/7/15,10:16:22,0:00:01,0.05,L,Dif.,Counts/L,21060,1480,460,320,20,0,Automatic,Line16,35,2.69,54.1,1167,114,40,17,1,0,1,0,0,0,0,0,0
2018/7/15,10:16:23,0:00:01,0.05,L,Dif.,Counts/L,20620,1360,320,360,20,0,Automatic,Line16,36,2.7,54.1,1134,103,35,19,1,0,1,0,0,0,0,0,0
2018/7/15,10:16:24,0:00:01,0.05,L,Dif.,Counts/L,21120,1200,320,280,0,0,Automatic,Line16,37,2.7,54.1,1146,90,30,14,0,0,1,0,0,0,0,0,0
