Date,Time,Sample Period,Sample Volume,Sample Units,Count Mode,Concentration Mode,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,Sample Mode,Location Name,Sample Number,Cal. Value,Laser Current,0.3um (Cum. Counts),0.5um (Cum. Counts),1.0um (Cum. Counts),2.0um (Cum. Counts),5.0um (Cum. Counts),10.0um (Cum. Counts),Cal Alarm,Flow Alarm,Over Conc. Alarm,System Alarm,Count Alarm,Battery Alarm,Laser Alarm
2018/7/20,10:17:53,0:00:01,0.05,L,Dif.,Counts/L,71340,3500,400,140,0,0,Automatic,Line16,1,2.48,47,3769,202,27,7,0,0,0,0,0,0,0,0,0
2018/7/20,10:17:54,0:00:01,0.05,L,Dif.,Counts/L,70500,3500,200,200,20,0,Automatic,Line16,2,2.53,48.3,3721,196,21,11,1,0,0,0,0,0,0,0,0
2018/7/20,10:17:55,0:00:01,0.05,L,Dif.,Counts/L,69560,3760,340,240,40,0,Automatic,Line16,3,2.79,53.7,3697,219,31,14,2,0,0,0,0,0,0,0,0
2018/7/20,10:17:56,0:00:01,0.05,L,Dif.,Counts/L,72280,3500,360,160,80,0,Automatic,Line16,4,2.79,53.7,3819,205,30,12,4,0,0,0,0,0,0,0,0
2018/7/20,10:17:57,0:00:01,0.05,L,Dif.,Counts/L,73000,3760,320,220,0,0,Automatic,Line16,5,2.79,53.7,3865,215,27,11,0,0,1,0,0,0,0,0,0
2018/7/20,10:17:58,0:00:01,0.05,L,Dif.,Counts/L,70420,4020,140,360,0,0,Automatic,Line16,6,2.79,53.7,3747,226,25,18,0,0,1,0,0,0,0,0,0
2018/7/20,10:17:59,0:00:01,0.05,L,Dif.,Counts/L,71060,3640,260,240,20,0,Automatic,Line16,7,2.79,53.7,3761,208,26,13,1,0,1,0,0,0,0,0,0
2018/7/20,10:18:00,0:00:01,0.05,L,Dif.,Counts/L,70160,3880,260,320,0,0,Automatic,Line16,8,2.75,53.8,3731,223,29,16,0,0,1,0,0,0,0,0,0
2018/7/20,10:18:01,0:00:01,0.05,L,Dif.,Counts/L,70540,3780,380,340,0,20,Automatic,Line16,9,2.75,53.8,3753,226,37,18,1,1,1,0,0,0,0,0,0
2018/7/20,10:18:02,0:00:01,0.05,L,Dif.,Counts/L,71520,3660,340,240,40,0,Automatic,Line16,10,2.75,53.8,3790,214,31,14,2,0,1,0,0,0,0,0,0
2018/7/20,10:18:03,0:00:01,0.05,L,Dif.,Counts/L,71000,3680,300,160,0,0,Automatic,Line16,11,2.75,53.8,3757,207,23,8,0,0,1,0,0,0,0,0,0
2018/7/20,10:18:04,0:00:01,0.05,L,Dif.,Counts/L,72820,3660,300,220,0,0,Automatic,Line16,12,2.76,53.9,3850,209,26,11,0,0,1,0,0,0,0,0,0
2018/7/20,10:18:05,0:00:01,0.05,L,Dif.,Counts/L,70000,3100,340,220,20,0,Automatic,Line16,13,2.77,53.8,3684,184,29,12,1,0,1,0,0,0,0,0,0
2018/7/20,10:18:06,0:00:01,0.05,L,Dif.,Counts/L,72980,3700,480,100,0,0,Automatic,Line16,14,2.77,53.8,3863,214,29,5,0,0,1,0,0,0,0,0,0
2018/7/20,10:18:07,0:00:01,0.05,L,Dif.,Counts/L,69840,3420,740,520,40,0,Automatic,Line16,15,2.76,53.8,3728,236,65,28,2,0,1,0,0,0,0,0,0
2018/7/20,10:18:08,0:00:01,0.05,L,Dif.,Counts/L,66400,3820,440,460,40,0,Automatic,Line16,16,2.77,53.8,3558,238,47,25,2,0,1,0,0,0,0,0,0
2018/7/20,10:18:09,0:00:01,0.05,L,Dif.,Counts/L,71900,3460,340,360,20,0,Automatic,Line16,17,2.77,53.8,3804,209,36,19,1,0,1,0,0,0,0,0,0
2018/7/20,10:18:10,0:00:01,0.05,L,Dif.,Counts/L,69760,3240,320,400,40,0,Automatic,Line16,18,2.77,53.8,3688,200,38,22,2,0,1,0,0,0,0,0,0
2018/7/20,10:18:11,0:00:01,0.05,L,Dif.,Counts/L,70560,3560,260,240,0,0,Automatic,Line16,19,2.77,53.9,3731,203,25,12,0,0,1,0,0,0,0,0,0
