1
,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,Sample Number
0,,,360.0,420.0,,20.0,1
1,14080.0,1180.0,240.0,300.0,60.0,0.0,2
2,12560.0,920.0,340.0,240.0,20.0,0.0,3
3,12400.0,1100.0,280.0,200.0,20.0,,4
4,12120.0,940.0,240.0,280.0,0.0,0.0,5
5,12100.0,1100.0,260.0,160.0,20.0,0.0,6
6,13460.0,1040.0,220.0,320.0,40.0,0.0,7
7,12860.0,920.0,360.0,260.0,20.0,20.0,8
8,12420.0,920.0,160.0,260.0,20.0,0.0,9
9,11940.0,1060.0,220.0,180.0,0.0,0.0,10
10,13500.0,860.0,300.0,260.0,80.0,0.0,11
11,14140.0,940.0,240.0,200.0,0.0,20.0,12
12,12840.0,940.0,180.0,300.0,40.0,20.0,13
13,12400.0,780.0,200.0,240.0,40.0,0.0,14
14,11400.0,900.0,300.0,120.0,0.0,0.0,15
15,12080.0,980.0,180.0,140.0,0.0,20.0,16
16,12680.0,1020.0,240.0,160.0,0.0,0.0,17
17,12380.0,900.0,240.0,220.0,0.0,0.0,18
18,13240.0,1160.0,220.0,360.0,20.0,0.0,19
19,13600.0,800.0,220.0,240.0,20.0,0.0,20
20,12580.0,1020.0,400.0,340.0,40.0,0.0,21
21,13420.0,900.0,80.0,180.0,0.0,0.0,22
22,13520.0,980.0,220.0,340.0,20.0,,23
23,13620.0,1060.0,280.0,140.0,20.0,0.0,24
24,12440.0,1160.0,200.0,360.0,20.0,0.0,25
25,13860.0,860.0,240.0,240.0,0.0,0.0,26
26,13100.0,1080.0,320.0,220.0,40.0,20.0,27
27,12520.0,1180.0,260.0,260.0,0.0,20.0,28
28,12160.0,880.0,320.0,280.0,0.0,0.0,29
29,12600.0,920.0,260.0,220.0,0.0,0.0,30
30,12740.0,940.0,280.0,180.0,0.0,0.0,31
31,11900.0,1320.0,220.0,220.0,40.0,0.0,32
32,11680.0,880.0,260.0,220.0,40.0,0.0,33
33,11560.0,920.0,140.0,120.0,20.0,0.0,34
34,13280.0,800.0,400.0,400.0,0.0,0.0,35
35,12540.0,1280.0,300.0,,60.0,20.0,36
36,11900.0,1180.0,340.0,320.0,20.0,0.0,37
37,11220.0,1320.0,,460.0,0.0,0.0,38
38,11880.0,780.0,280.0,140.0,40.0,0.0,39
39,11760.0,860.0,280.0,280.0,0.0,0.0,40
40,12280.0,900.0,300.0,,40.0,,41
41,12640.0,840.0,280.0,340.0,0.0,20.0,42
42,11800.0,1020.0,180.0,300.0,20.0,0.0,43
43,12740.0,980.0,240.0,280.0,40.0,20.0,44
44,12620.0,1200.0,280.0,180.0,0.0,20.0,45
45,12140.0,1060.0,160.0,220.0,20.0,0.0,46
46,11840.0,980.0,240.0,220.0,0.0,0.0,47
47,12300.0,1040.0,320.0,200.0,0.0,0.0,48
48,11860.0,1100.0,240.0,180.0,0.0,0.0,49
49,12780.0,1080.0,220.0,160.0,0.0,0.0,50
50,13020.0,1020.0,240.0,160.0,0.0,0.0,51
51,12340.0,800.0,340.0,340.0,20.0,0.0,52
52,12340.0,980.0,220.0,180.0,0.0,0.0,53
53,11260.0,920.0,400.0,200.0,20.0,0.0,54
54,13740.0,980.0,160.0,260.0,20.0,0.0,55
55,12720.0,940.0,280.0,220.0,20.0,0.0,56
56,13240.0,900.0,340.0,180.0,20.0,0.0,57
57,13360.0,800.0,320.0,240.0,20.0,0.0,58
58,13380.0,980.0,220.0,260.0,40.0,0.0,59
59,14060.0,980.0,360.0,220.0,0.0,0.0,60
60,13440.0,1060.0,280.0,180.0,40.0,0.0,61
61,12980.0,1040.0,260.0,260.0,60.0,20.0,62
62,13480.0,800.0,260.0,380.0,40.0,0.0,63
63,13180.0,860.0,180.0,320.0,20.0,0.0,64
64,13000.0,1160.0,380.0,260.0,20.0,20.0,65
65,13100.0,960.0,280.0,160.0,20.0,20.0,66
66,12220.0,1000.0,300.0,160.0,20.0,20.0,67
67,11060.0,720.0,320.0,200.0,0.0,0.0,68
68,11180.0,1020.0,360.0,220.0,20.0,0.0,69
69,11340.0,1080.0,200.0,260.0,20.0,0.0,70
70,11540.0,840.0,260.0,200.0,0.0,0.0,71
71,11860.0,840.0,240.0,140.0,20.0,0.0,72
72,12120.0,920.0,200.0,240.0,20.0,0.0,73
73,12580.0,1140.0,240.0,220.0,40.0,0.0,74
74,11960.0,960.0,180.0,320.0,0.0,0.0,75
75,11600.0,900.0,180.0,280.0,40.0,0.0,76
76,12180.0,1080.0,260.0,360.0,20.0,0.0,77
77,13140.0,820.0,240.0,260.0,0.0,0.0,78
78,11460.0,800.0,340.0,300.0,40.0,0.0,79
79,12740.0,900.0,260.0,260.0,0.0,0.0,80
80,11880.0,760.0,280.0,240.0,20.0,0.0,81
81,13020.0,940.0,260.0,280.0,40.0,0.0,82
82,13740.0,1340.0,200.0,180.0,60.0,0.0,83
mean, 12557.80487804878, 978.2926829268292, 260.7317073170732, 244.44444444444446, 19.51219512195122, 3.75, 42.0
max, 14140.0,1340.0,400.0,460.0,80.0,20.0,83.0
min, 11060.0,720.0,80.0,120.0,0.0,0.0,1.0
std, 756.8290320010291,136.1988821589774,63.669293872590316,72.04165461731151,18.84979215423219,7.855498759435563,24.1039415863879
median, 12550.0,960.0,260.0,240.0,20.0,0.0,42.0
2
,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,Sample Number
83,11160,1060.0,200,300.0,20.0,,1
84,11960,900.0,200,220.0,20.0,0.0,2
85,11560,1200.0,300,60.0,20.0,,3
86,11620,980.0,240,140.0,20.0,0.0,4
87,12360,780.0,380,200.0,20.0,0.0,5
88,12420,940.0,300,380.0,20.0,0.0,6
89,11820,1120.0,320,260.0,40.0,0.0,7
90,11640,860.0,400,400.0,40.0,20.0,8
91,12080,1000.0,120,200.0,40.0,0.0,9
92,11240,1080.0,280,160.0,0.0,0.0,10
93,11880,800.0,240,160.0,20.0,0.0,11
94,10920,940.0,420,320.0,80.0,20.0,12
95,11200,960.0,180,320.0,20.0,0.0,13
96,12180,780.0,160,200.0,40.0,20.0,14
97,11880,600.0,340,400.0,20.0,0.0,15
98,10620,820.0,320,220.0,40.0,20.0,16
99,11880,800.0,180,260.0,20.0,0.0,17
100,11340,860.0,340,260.0,40.0,0.0,18
101,11800,780.0,280,260.0,0.0,20.0,19
102,11820,820.0,240,260.0,20.0,0.0,20
103,11560,900.0,200,260.0,40.0,0.0,21
104,11880,920.0,260,280.0,40.0,0.0,22
105,11560,1000.0,380,140.0,40.0,20.0,23
106,11560,1020.0,300,200.0,40.0,20.0,24
107,11600,1140.0,420,,,0.0,25
108,12680,1140.0,260,440.0,60.0,,26
109,11860,840.0,200,320.0,60.0,20.0,27
110,12300,920.0,140,420.0,60.0,20.0,28
111,11440,1200.0,400,300.0,40.0,0.0,29
112,12380,960.0,220,140.0,40.0,20.0,30
113,12700,1100.0,300,260.0,0.0,0.0,31
114,12320,1060.0,280,340.0,20.0,20.0,32
115,11880,900.0,400,240.0,40.0,0.0,33
116,11880,820.0,260,260.0,20.0,0.0,34
117,12060,700.0,260,100.0,20.0,0.0,35
118,11760,1120.0,160,200.0,0.0,0.0,36
119,12600,980.0,140,280.0,20.0,20.0,37
120,12160,1120.0,300,380.0,20.0,0.0,38
121,12640,880.0,380,260.0,20.0,0.0,39
122,12080,1120.0,220,160.0,0.0,0.0,40
123,13940,1260.0,400,280.0,40.0,0.0,41
124,12280,1000.0,440,160.0,0.0,0.0,42
125,13060,1120.0,200,260.0,20.0,0.0,43
126,12240,1380.0,200,240.0,40.0,0.0,44
127,12680,1380.0,420,360.0,40.0,0.0,45
128,12160,1240.0,440,180.0,20.0,0.0,46
129,12660,920.0,320,240.0,0.0,0.0,47
130,13380,960.0,340,240.0,60.0,0.0,48
131,12860,980.0,320,180.0,0.0,0.0,49
132,12260,1400.0,340,240.0,40.0,0.0,50
133,12780,840.0,260,160.0,20.0,20.0,51
134,12900,1240.0,320,340.0,20.0,0.0,52
135,12200,920.0,280,280.0,40.0,0.0,53
136,11720,1020.0,320,280.0,60.0,0.0,54
137,12920,920.0,360,400.0,60.0,0.0,55
138,12100,960.0,380,240.0,20.0,0.0,56
139,12640,880.0,420,160.0,0.0,0.0,57
140,13640,920.0,220,440.0,20.0,0.0,58
141,12740,1180.0,300,240.0,20.0,0.0,59
142,13660,1100.0,300,220.0,40.0,0.0,60
143,13340,1100.0,260,200.0,60.0,20.0,61
144,12600,1160.0,420,260.0,60.0,20.0,62
145,12100,1160.0,240,400.0,60.0,0.0,63
146,12660,900.0,360,140.0,0.0,0.0,64
147,12860,1260.0,220,200.0,40.0,0.0,65
148,11620,1280.0,300,280.0,40.0,0.0,66
149,12640,840.0,160,280.0,0.0,0.0,67
150,12460,1020.0,340,140.0,20.0,0.0,68
151,12460,840.0,340,300.0,0.0,0.0,69
152,13280,840.0,240,300.0,0.0,0.0,70
153,13500,1180.0,320,380.0,20.0,0.0,71
154,13180,1300.0,260,240.0,20.0,0.0,72
155,13340,1060.0,260,120.0,0.0,0.0,73
156,12120,1060.0,160,160.0,0.0,0.0,74
157,12200,1060.0,280,300.0,20.0,0.0,75
158,12480,1100.0,240,220.0,0.0,0.0,76
159,11940,940.0,200,160.0,20.0,0.0,77
160,12460,680.0,160,240.0,20.0,0.0,78
161,11800,860.0,120,140.0,20.0,0.0,79
162,11780,660.0,180,160.0,0.0,0.0,80
163,10760,980.0,240,160.0,0.0,0.0,81
164,12000,1020.0,200,300.0,0.0,0.0,82
165,12220,800.0,240,200.0,20.0,0.0,83
166,11040,880.0,280,120.0,40.0,0.0,84
167,11620,760.0,300,260.0,40.0,0.0,85
168,11320,780.0,280,200.0,20.0,20.0,86
169,10900,1080.0,240,180.0,0.0,20.0,87
