,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,Sample Number
0,12550.0,960.0,260.0,240.0,20.0,0.0,42.0
1,11680.0,940.0,260.0,220.0,20.0,0.0,94.0
2,10210.0,870.0,220.0,200.0,20.0,0.0,67.0
3,10840.0,900.0,240.0,200.0,20.0,0.0,111.0
4,10560.0,900.0,240.0,220.0,20.0,0.0,82.5
5,12280.0,1040.0,280.0,260.0,20.0,0.0,107.0
6,13160.0,1280.0,340.0,300.0,40.0,0.0,76.0
7,10980.0,920.0,240.0,200.0,0.0,0.0,86.0
8,11700.0,1000.0,280.0,220.0,20.0,0.0,82.5
9,11960.0,1080.0,300.0,240.0,20.0,0.0,64.5
10,11620.0,1000.0,280.0,240.0,20.0,0.0,60.5
11,12440.0,960.0,240.0,200.0,20.0,0.0,68.0
12,11640.0,920.0,240.0,220.0,20.0,0.0,59.5
13,11910.0,940.0,260.0,240.0,20.0,0.0,77.5
14,13320.0,1020.0,280.0,260.0,20.0,0.0,144.5
15,15840.0,2210.0,700.0,900.0,140.0,40.0,75.5
16,13140.0,1120.0,320.0,300.0,40.0,0.0,110.0
17,12040.0,1000.0,280.0,280.0,20.0,0.0,105.5
